Years;P;DJF;MAM;JJA;SON
1935;231.9;NaN;26.1;124.7;58.2
1936;202.9;9.3;39.9;111.7;24
1937;206.6;39.9;59.3;80.6;36.9
1938;514.4;22.1;118.6;313.7;49.6
1939;338;32.5;45.7;164.6;100.8
1940;271.1;29.5;66.1;72.4;93.3
1941;315.8;43.9;86.7;132.6;65.4
1942;384.7;31.6;61.6;176.9;119.8
1943;294.2;15.5;71.5;148.7;55.7
1944;396.3;31.1;85.6;205.1;78.8
1945;359.2;15.3;79.5;122;132.7
1946;444.7;32.1;30.8;272.8;112.9
1947;268.9;20;33.8;125.3;87.4
1948;266.3;34.5;45.5;111.7;69
1949;314.4;26.2;51.9;143.1;101.1
1950;398.2;21.4;111.1;188.9;75.5
1951;221.6;44.1;17.9;102.5;39.7
1952;305.4;48.1;67.1;97;106.7
1953;387.5;46.9;70.2;183.4;87.1
1954;365.8;37.7;85.6;157.4;86.2
1955;270.6;53.8;58.8;110.4;50.9
1956;369.6;28.6;111.9;172.6;52.8
1957;323.5;47.2;58.3;135.4;67.3
1958;406.7;69.2;69.3;171.4;112.3
1959;470.1;46;35.5;329.5;65.3
1960;606.9;36.4;90.6;371.6;88.3
1961;414.6;49.9;102.5;182.3;97.8
1962;293.4;24.2;38.1;128.7;100.6
1963;413.4;40.2;38.4;264;64.5
1964;377.9;49.1;90.1;188.2;59.6
1965;293.3;22.9;80.8;100.8;86.4
1966;275.9;60.8;77.1;89.7;57.4
1967;267.5;23.1;48.6;134.8;56.3
1968;292.4;17.3;35.4;162.3;70.3
1969;421;26.6;81.5;231.9;86.2
1970;328.4;27.4;89.7;127.2;78.8
1971;411.5;54.1;110.2;202.3;39.5
1972;284;44.2;54.7;153.7;39.9
1973;280.2;35.1;35.1;136.5;80.1
1974;304.6;21.7;81.2;149.8;56.9
1975;294.8;27.6;91.4;103.6;62.3
1976;262.1;28.2;62.6;112.7;58.5
1977;456.1;32.3;47.5;287;78.3
1978;351.2;42.9;68.4;192.6;55.5
1979;383;29.8;78.8;168.8;101.6
1980;360.7;34;45.3;248.1;47.9
1981;369.5;14.1;122.5;163.1;69.2
1982;363.5;32.4;97.9;105.4;119.1
1983;310.7;38.7;60.4;111.1;99.4
1984;341.6;32.5;80.3;108.4;124.9
1985;374.4;27.8;48.3;232.7;62.1
1986;276;36.8;47.9;143;48.6
1987;321.9;55.5;56;125.5;77.6
1988;180.5;49.3;51.3;33.4;44.3
1989;272.1;41.6;75.3;101.7;56.3
1990;427.4;62.2;62;253.6;56.3
1991;197.6;39.6;23.4;88.7;44.2
1992;337;27.4;35.4;197.8;78
1993;433.4;31.9;87.5;269.3;46.8
1994;428.1;29.5;77.8;235.1;70.8
1995;204.6;33.5;52.6;77.7;50.1
1996;341.7;30.7;53.3;192.9;67.6
1997;187.1;38.8;55.9;53.8;35.2
1998;241.6;29.7;70.5;108.9;45.6
1999;351.7;25;41.6;219.4;66.2
2000;325.3;37.7;74.4;107.3;77.2
2001;418.6;72.1;65.9;203.1;100.2
2002;345.7;29.5;106.4;136.6;66.8
2003;229.3;28.4;63.2;105.1;36.6
2004;253.4;28.1;36.2;123.6;48.8
2005;411.3;42.7;72.8;284.3;26.8
2006;391.8;29.2;101.8;148.2;117.2
2007;392.2;37.7;96.5;187.2;67.8
2008;258.1;30;62.2;95.6;69.2
2009;441;32.6;69.7;235.7;90.7
2010;208;50.6;71.6;45;44.8
2011;366.2;41.1;76.9;196.8;63.1
2012;313.5;19.6;58.9;118.7;111.8
2013;492.5;79.1;93.8;231.8;68.8
2014;403.5;89.3;70.4;166.2;94.1
2015;405.6;50.3;104.6;152.1;93.4
2016;522.5;46.8;77.2;269.5;103.2
