year,pH,Mg,Cl,SO4,HCO3,Ca,BOD,NH4-N,NO2-N,NO3-N,PO4,Fe_total,Cu_ppb,Zn_ppb,Ni_ppb,Cr,Pb,Co_ppb,Cd,Mn,As,TPH,F
2005,8.0,8.2,2.5,50.4,122,26.9,1.25,0.07,0.02,0.99,0.03,0.34,2.42,6.08,3.44,1.10,5.48,0.00,0.05,13.02,0.13,0.05,0.59
2006,7.9,8.1,2.7,56.9,126,30.9,1.47,0.13,0.01,0.79,0.02,0.16,8.24,2.95,2.37,2.19,3.69,0.00,0.17,3.85,0.76,0.04,0.72
2007,7.7,9.6,6.0,69.6,125,34.2,1.40,0.12,0.02,0.93,0.01,0.23,8.31,1.48,3.00,2.10,0.63,,0.03,3.66,1.78,0.03,0.69
2008,7.7,9.6,3.6,56.0,112,30.4,2.54,0.11,0.02,0.72,0.07,0.15,11.67,1.81,1.58,3.03,0.08,0.01,0.01,3.23,0.61,0.03,0.67
2009,7.6,4.7,2.8,32.8,85,25.4,1.56,0.02,0.02,0.66,0.01,0.20,5.42,1.50,2.36,,,0.00,,4.69,,0.02,0.69
2010,,4.0,2.9,12.8,,24.2,1.96,0.01,0.01,0.31,0.02,0.11,6.20,1.58,2.32,0.87,1.40,0.00,0.01,3.88,0.76,0.01,0.70
2011,7.5,3.7,1.7,12.0,89,26.9,1.28,0.01,0.02,1.03,1.07,0.01,0.10,6.68,2.11,2.43,0.85,1.34,0.03,10.74,0.82,0.00,0.67
2012,7.7,4.7,2.0,20.4,82,27.2,1.59,0.15,0.03,0.88,1.06,0.04,0.10,3.02,2.07,2.48,0.69,1.06,0.02,8.18,0.51,0.02,0.66
2013,7.6,4.7,3.8,16.8,90,28.3,1.65,0.07,0.02,0.82,0.06,0.11,1.91,1.29,1.69,1.78,0.47,,0.01,10.25,0.49,0.02,0.68
2014,8.0,4.8,3.0,20.1,97,29.4,1.44,0.05,0.01,1.09,0.04,0.12,1.43,1.94,1.57,2.75,0.75,,0.01,11.87,0.12,0.01,0.69
