year,month,day,KZ-8 ,KZ-9
2019,4,26,530,620
2019,5,17,650,750
2019,5,30,640,780
2019,6,11,350,600
2019,6,25,430,490
2019,7,8,330,460
2019,7,23,420,500
2019,8,5,390,550
2019,8,20,280,460
2019,9,3,380,600
2019,9,17,430,620
2019,10,1,440,620
2019,10,15,420,560
2019,10,28,500,600
2019,11,12,550,560
2019,11,25,600,590
2019,12,11,580,570
2019,12,25,660,610
2020,1,6,650,660
2020,1,21,680,680
2020,3,3,800,680
2020,3,16,670,670
2020,5,25,660,730
2020,6,9,660,670
2020,6,23,900,690
2020,7,6,1280,700
2020,7,28,1530,600
2020,8,21,1210,560
2020,9,8,540,620
2020,9,23,470,730
2020,10,8,470,630
2020,10,23,500,620
2020,11,4,570,570
2020,11,19,550,550
2020,12,3,690,650
2020,12,15,660,630
2020,12,30,690,600
2021,1,15,660,530
