date,year,month,day,KG-1,KG-5
19-06-19,2019,6,19,0.003,0.122
05-07-19,2019,7,5,0.009,0.092
16-07-19,2019,7,16,0.063,0.206
05-08-19,2019,8,5,0.013,0.107
16-08-19,2019,8,16,0.014,0.104
04-09-19,2019,9,4,0.023,0.123
18-09-19,2019,9,18,0.003,0.029
04-10-19,2019,10,4,0.342,0.304
17-10-19,2019,10,17,0.008,0.244
01-11-19,2019,11,1,0.003,0.334
18-11-19,2019,11,18,0.869,0.178
06-12-19,2019,12,6,0.068,1.93
19-12-19,2019,12,19,0.019,0.044
10-01-20,2020,1,10,,0.095
16-01-20,2020,1,16,,0.001
06-02-20,2020,2,6,0.023,0.028
18-02-20,2020,2,18,,0.061
05-03-20,2020,3,5,0.11,0.086
19-03-20,2020,3,19,0.567,3.01
05-06-20,2020,6,5,0.701,0.094
17-06-20,2020,6,17,0.017,0.031
28-07-20,2020,7,28,0.035,0.018
18-08-20,2020,8,18,2.73,0.05
08-09-20,2020,9,8,1.84,0.092
17-09-20,2020,9,17,0.03,0.337
08-10-20,2020,10,8,0.013,0.133
